x1,y1,z1,x2,y2,z2,vx,vy,vz,ux,uy,uz,dux,duy,duz,speed
3.82,-7.253,57.913,2.814,-7.48,57.824,-1.0059999999999998,-0.2270000000000003,-0.08899999999999864,-0.9718622882174534,-0.21929695767928653,-0.08597986446456465,-0.031915133188136435,0.0353129270811981,0.04215446710921378,1.035126079277302
4.096,-7.007,55.962,3.032,-7.19,55.782,-1.064,-0.18300000000000072,-0.18000000000000682,-0.9721111798959117,-0.16719581383548168,-0.16445489885457776,-0.032164024866594754,0.08741407092500295,-0.036320567280799326,1.0945250111349685
5.392,-6.666,52.933,4.284,-6.799,52.813,-1.1080000000000005,-0.133,-0.11999999999999744,-0.9871816176737492,-0.11849743244639765,-0.10691497664336402,-0.04723446264443232,0.13611245231408697,0.021219354930414408,1.1223871880950889
-2.67,-6.948,57.951,-3.836,-7.135,57.927,-1.166,-0.1869999999999994,-0.02400000000000091,-0.9871785846225507,-0.15832109376021988,-0.02031928476067077,-0.04723142959323379,0.09628879100026475,0.10781504681310766,1.1811439370373111
0.941,-6.677,54.769,-0.182,-6.906,54.67,-1.123,-0.2290000000000001,-0.09899999999999665,-0.9762003287201816,-0.19906489338995695,-0.08605862203320988,-0.03625317369086467,0.05554499137052768,0.04207570954056855,1.1503786333203512
-1.413,-6.754,56.121,-2.565,-6.94,56.037,-1.152,-0.18600000000000083,-0.08400000000000318,-0.9846671764929971,-0.15898272120459922,-0.07179864828595042,-0.04472002146368015,0.09562716355588541,0.05633568328782801,1.1699384599200082
-0.124,-7.119,59.608,-1.225,-7.381,59.56,-1.101,-0.26200000000000045,-0.047999999999994714,-0.971960854252875,-0.23129313697934034,-0.0423743151717828,-0.03201369922355812,0.023316747781144287,0.08576001640199563,1.132761669549248
-1.981,-6.747,56.211,-3.142,-6.95,56.173,-1.1609999999999998,-0.2030000000000003,-0.0379999999999967,-0.9845440847777547,-0.17214681241161459,-0.03222452646128462,-0.044596929748437764,0.08246307234887004,0.0959098051124938,1.1792260173520592
-1.248,-6.629,55.459,-2.4,-6.874,55.398,-1.152,-0.2450000000000001,-0.06099999999999994,-0.976815026171976,-0.20774277900358876,-0.05172371232334244,-0.0368678711426591,0.04686710575689587,0.07641061925043599,1.1793430374577194
5.62,-6.853,57.281,4.554,-7.054,57.168,-1.0659999999999998,-0.2010000000000005,-0.11299999999999955,-0.977395274934337,-0.18429310531125914,-0.10360756666752312,-0.03744811990502006,0.07031677944922549,0.024526764906255313,1.090653932280996
-3.173,-6.804,59.095,-4.354,-6.949,59.218,-1.181,-0.14499999999999957,0.12300000000000466,-0.9872860018495552,-0.12121631690786204,0.1028248757218458,-0.047338846820238256,0.13339356785262257,0.23095920729562425,1.196208593849752
1.314,-6.758,57.544,0.219,-6.989,57.463,-1.095,-0.23099999999999987,-0.08099999999999596,-0.9759114097686433,-0.20587720151283698,-0.07219070702397824,-0.03596425473932641,0.04873268324764765,0.05594362454980019,1.1220280745150717
3.992,-6.305,52.895,2.945,-6.527,52.752,-1.0470000000000002,-0.22200000000000042,-0.14300000000000068,-0.9696348321142684,-0.2055959242878395,-0.13243341068991502,-0.029687677084951458,0.04901396047264514,-0.004299079116136584,1.0797879421441974
-2.295,-6.679,58.296,-3.465,-6.905,58.157,-1.17,-0.22599999999999998,-0.1390000000000029,-0.9752380819679344,-0.18837932181602834,-0.1158616182850818,-0.03529092693861746,0.06623056294445628,0.012272713288696627,1.199707047574532
4.167,-6.575,56.529,3.106,-6.784,56.443,-1.061,-0.20899999999999963,-0.08600000000000563,-0.9780575796741747,-0.19266167215070892,-0.07927705169838316,-0.03811042464485781,0.061948212609775705,0.048857279875395274,1.0848032079598589
-2.9,-6.612,58.751,-4.053,-6.815,58.686,-1.153,-0.2030000000000003,-0.06499999999999773,-0.9833378450862182,-0.17312886604727024,-0.055435351197399785,-0.043390690056901327,0.08148101871321439,0.07269898037637865,1.1725369930198364
0.489,-6.375,55.241,-0.672,-6.589,55.128,-1.161,-0.2140000000000004,-0.11299999999999955,-0.9789590214950769,-0.18044550439271906,-0.09528197194568754,-0.03901186646575994,0.07416438036776557,0.032852359628090896,1.185953624725689
4.616,-6.66,56.725,3.611,-6.94,56.478,-1.0049999999999994,-0.28000000000000025,-0.2469999999999999,-0.9373980421035787,-0.26116562367064916,-0.23038538945232234,0.0025491129257382283,-0.0065557389101645325,-0.10225105787854391,1.0721165981366014
7.185,-6.492,55.235,6.086,-6.636,55.05,-1.0989999999999993,-0.14400000000000013,-0.18500000000000227,-0.977995688666693,-0.12814502199090447,-0.16463075741887218,-0.038048533637376036,0.12646486276958016,-0.036496425845093744,1.123726835133877
4.704,-6.249,55.765,3.656,-6.464,55.746,-1.0479999999999996,-0.21500000000000075,-0.01899999999999835,-0.979443529765344,-0.20093545696521922,-0.017757086894599167,-0.03949637473602707,0.053674427795265406,0.11037724467917927,1.0699953270925997
3.162,-6.001,52.592,2.047,-6.278,52.562,-1.1149999999999998,-0.27699999999999925,-0.030000000000001137,-0.9701691476772977,-0.24101959991624286,-0.026103205767103174,-0.030221992647980755,0.013590284844241768,0.10203112580667525,1.1492841250099992
-1.565,-6.206,55.571,-2.678,-6.483,55.449,-1.113,-0.27699999999999925,-0.12199999999999989,-0.9649548298093947,-0.24015497561293947,-0.10577222752627678,-0.025007674780077815,0.014454909147545159,0.02236210404750165,1.1534218655808461
3.864,-6.425,57.593,2.765,-6.668,57.484,-1.0989999999999998,-0.24300000000000033,-0.10900000000000176,-0.9718698190253272,-0.21489023296010454,-0.09639109215083021,-0.03192266399601029,0.03971965180038009,0.031743239422948225,1.1308098867625804
5.689,-5.875,54.164,4.589,-6.01,54.087,-1.0999999999999996,-0.1349999999999998,-0.07699999999999818,-0.9901659954398898,-0.12152037216762268,-0.06931161968079066,-0.050218840410572896,0.13308951259286195,0.05882271189298777,1.1109248399419283
5.177,-5.948,53.569,4.072,-6.088,53.453,-1.1049999999999995,-0.13999999999999968,-0.11599999999999966,-0.986732616278251,-0.12501589708502706,-0.10358460044187949,-0.046785461248934124,0.12959398767545757,0.02454973113189894,1.1198575802306285
5.913,-6.0,54.926,4.846,-6.176,54.813,-1.0670000000000002,-0.17600000000000016,-0.11299999999999955,-0.9813246246806904,-0.16186797932877378,-0.1039266003644963,-0.041377469651373455,0.09274190543171085,0.02420773120928213,1.0873058447373491
1.838,-6.178,56.041,0.737,-6.422,56.066,-1.101,-0.24399999999999977,0.025000000000005684,-0.9760722681528226,-0.2163139268204255,0.022163312174228983,-0.03612511312350564,0.03829595794005913,0.15029764374800741,1.127990248184797
-2.491,-6.243,58.513,-3.678,-6.386,58.446,-1.1869999999999998,-0.1429999999999998,-0.06700000000000017,-0.9912660369703913,-0.11941958153897707,-0.055951831909870596,-0.05131888194107437,0.13519030322150755,0.07218249966390783,1.1974585587818893
4.935,-5.955,55.344,3.929,-6.201,55.156,-1.0059999999999998,-0.24599999999999955,-0.1880000000000024,-0.9557591919996972,-0.23371447438561146,-0.17861106172559185,-0.01581203697038025,0.020895410374873163,-0.05047673015181342,1.0525663874549673
-2.22,-5.988,57.948,-3.337,-6.211,57.841,-1.117,-0.22299999999999986,-0.10699999999999932,-0.9763497379856585,-0.19492031474557003,-0.09352678779271692,-0.03640258295634158,0.059689570014914595,0.03460754378106151,1.1440572538120632
-1.488,-5.985,59.832,-2.626,-6.222,59.723,-1.138,-0.2370000000000001,-0.10900000000000176,-0.9747188366652795,-0.20299504770621385,-0.09336059156108716,-0.03477168163596256,0.05161483705427078,0.034773740012691276,1.1675161669116194
-2.748,-6.102,60.432,-3.924,-6.302,60.382,-1.1759999999999997,-0.1999999999999993,-0.05000000000000426,-0.9849798971145446,-0.1675135879446499,-0.041878396986166196,-0.04503274208522767,0.08709629681583472,0.08625593458761224,1.1939329964449428
-1.044,-5.809,57.045,-2.162,-6.069,56.932,-1.1179999999999999,-0.2599999999999998,-0.11299999999999955,-0.9693221806051621,-0.22542376293143288,-0.09797263542789167,-0.02937502557584515,0.029186121829051753,0.030161696145886763,1.1533832840820955
5.873,-5.753,55.235,4.78,-5.93,55.115,-1.093,-0.1769999999999996,-0.11999999999999744,-0.9813934036248634,-0.1589264706693508,-0.107746759775829,-0.041446248595546464,0.09568341409113382,0.020387571797949436,1.1137225866435496
1.723,-5.559,54.251,0.6,-5.784,54.202,-1.1230000000000002,-0.22499999999999964,-0.04899999999999949,-0.9796173321128022,-0.19627239512500455,-0.042743766049445055,-0.0396701770834853,0.05833748963548008,0.08539056552433338,1.146365997402226
1.03,-5.606,55.176,-0.103,-5.811,55.083,-1.133,-0.20500000000000007,-0.09300000000000352,-0.9808281333136412,-0.17746669667192985,-0.08050928190482973,-0.04088097828432424,0.07714318808855478,0.047625049668948705,1.1551463110792506
-2.106,-6.14,61.41,-3.282,-6.325,61.232,-1.1760000000000002,-0.1850000000000005,-0.17799999999999727,-0.9769905513428739,-0.15369324149526542,-0.14787782154679327,-0.03704339631355702,0.10091664326521921,-0.01974348997301484,1.2036963902911728
-2.808,-5.876,60.069,-3.976,-6.088,60.001,-1.1680000000000001,-0.21199999999999974,-0.06800000000000495,-0.9823134326440419,-0.17829661619908957,-0.05718948066763673,-0.042366277614725,0.07631326856139506,0.0709448509061417,1.1890298566478474
6.155,-5.417,53.222,5.055,-5.621,53.132,-1.1000000000000005,-0.20400000000000063,-0.09000000000000341,-0.9800683453836755,-0.18175812950751846,-0.08018741007684917,-0.04012119035435857,0.07285175525296617,0.047946921496929265,1.1223707052484941
0.9,-5.811,59.124,-0.184,-6.011,59.058,-1.084,-0.20000000000000018,-0.0660000000000025,-0.981644075741056,-0.18111514312565624,-0.05976799723146877,-0.04169692071173914,0.07349474163482839,0.06836633434230965,1.1042698945457132
-3.563,-5.719,59.12,-4.772,-5.886,59.054,-1.209,-0.16699999999999982,-0.0659999999999954,-0.9891490950550973,-0.13663184356840452,-0.053998213625832805,-0.04920194002578038,0.11797804119208011,0.07413611794794563,1.222262655896841
1.015,-5.896,60.455,-0.075,-6.125,60.39,-1.0899999999999999,-0.2290000000000001,-0.06499999999999773,-0.9769731748384944,-0.20525399728258287,-0.05825986822431185,-0.037026019809177524,0.04935588747790176,0.06987446334946658,1.1156908173862503
0.804,-5.425,55.555,-0.325,-5.665,55.493,-1.129,-0.2400000000000002,-0.06199999999999761,-0.9767353315637864,-0.20763195710833388,-0.05363825558631747,-0.03678817653446953,0.04697792765215075,0.07449607598746097,1.1558914308878667
5.452,-5.385,54.318,4.367,-5.539,54.219,-1.085,-0.15399999999999991,-0.09899999999999665,-0.9860613448822518,-0.13995709411231955,-0.089972417643631,-0.04611418985293492,0.11465279064816508,0.03816191393014744,1.1003372210372597
1.305,-5.377,56.047,0.221,-5.58,55.952,-1.0839999999999999,-0.2030000000000003,-0.09499999999999886,-0.979286658045184,-0.18339039813945818,-0.08582309272536105,-0.03933950301586708,0.07121948662102645,0.04231123884841738,1.1069281819521986
4.637,-5.355,55.003,3.532,-5.511,54.896,-1.1049999999999995,-0.1559999999999997,-0.10699999999999932,-0.9856607531239561,-0.13915210632338182,-0.09544407292693455,-0.04571359809463915,0.11545777843710281,0.032690258646843884,1.1210753765916004
5.712,-5.296,53.895,4.594,-5.418,53.783,-1.1179999999999994,-0.12199999999999989,-0.11200000000000188,-0.9892054658511442,-0.1079454980624683,-0.09909750641800542,-0.0492583108218273,0.14666438669801635,0.029036825155773008,1.1301999823040163
6.349,-5.612,57.295,5.304,-5.813,57.229,-1.045,-0.20099999999999962,-0.0660000000000025,-0.9801164905623004,-0.18852001397418375,-0.06190209414077922,-0.04016933553298352,0.06608987078630088,0.06623223743299922,1.066199793659706
-1.704,-5.423,57.722,-2.829,-5.606,57.579,-1.1250000000000002,-0.18299999999999983,-0.14300000000000068,-0.9793489400970666,-0.15930742758912264,-0.12448613194122769,-0.03940178506774972,0.09530245717136199,0.0036481996325507388,1.1487223337256052
3.081,-5.158,53.484,1.956,-5.377,53.405,-1.125,-0.21899999999999942,-0.07900000000000063,-0.9792509874674495,-0.19062752556032966,-0.06876518045327033,-0.039303832438132624,0.06398235920015496,0.0593691511205081,1.1488372382544012
