x,y,z,ux,uy,uz,vx,vy,vz,speed
0.21827547,7.6382556,5.4707956,-0.043776453,-0.79734457,0.6019348,-0.021888226,-0.39867228,0.3009674,0.50000006
0.31862822,7.6402287,5.335027,-0.03652298,-0.9979109,-0.053290352,-0.01826149,-0.49895546,-0.026645176,0.5
2.6316016,1.0187461,0.085439764,-0.49689192,-0.78286254,0.37446588,-0.24844596,-0.39143127,0.18723294,0.5
0.38493055,4.8218746,9.317014,-0.2474294,0.06804921,0.96651334,-0.1237147,0.034024604,0.48325667,0.5
2.1080163,6.8939514,10.058521,0.3272616,-0.1946871,0.9246602,0.1636308,-0.09734355,0.4623301,0.4999999
0.9781764,0.938221,1.2108767,-0.51614505,-0.59724134,0.6139195,-0.25807253,-0.29862067,0.30695975,0.5
7.056049,7.433322,8.615817,0.07501145,-0.10312192,0.9918362,0.037505724,-0.05156096,0.4959181,0.49999997
1.6801865,1.3230534,8.429727,0.40062195,-0.7892803,0.46533722,0.20031098,-0.39464015,0.23266861,0.5
1.1197915,6.6060543,8.56832,-0.53332967,-0.43866715,0.7232776,-0.26666483,-0.21933357,0.3616388,0.49999997
0.21738438,4.344046,8.93171,-0.32850593,-0.09959939,0.93923587,-0.16425297,-0.049799696,0.46961793,0.50000006
4.50697,9.714734,8.000602,-0.21949488,-0.86165583,0.457571,-0.10974744,-0.43082792,0.2287855,0.5
9.936252,8.119101,6.6822686,-0.07171969,-0.97064346,0.22958167,-0.035859846,-0.48532173,0.114790834,0.50000006
3.9606814,1.2707951,9.433071,-0.70312583,-0.39041045,0.5943012,-0.35156292,-0.19520523,0.2971506,0.50000006
6.365696,8.722406,7.277089,-0.5217441,-0.64012,0.5639412,-0.26087204,-0.32006,0.2819706,0.50000006
9.639165,6.5064435,3.198704,0.038439676,-0.96520185,-0.25866514,0.019219838,-0.48260093,-0.12933257,0.49999997
9.549226,0.06337993,5.4881244,0.25962645,-0.84305197,-0.4710173,0.12981322,-0.42152599,-0.23550865,0.49999994
3.1229472,5.8550134,6.2417784,-0.934791,-0.09544567,0.3421345,-0.4673955,-0.047722835,0.17106725,0.5
7.0529222,4.2576046,9.913531,-0.36717254,-0.92904687,0.045349013,-0.18358627,-0.46452343,0.022674507,0.50000006
2.005806,4.048639,3.4711123,-0.47161603,-0.8506244,0.23241499,-0.23580801,-0.4253122,0.116207495,0.50000006
3.2107868,7.6052256,8.799483,-0.35765448,-0.64826316,0.6721892,-0.17882724,-0.32413158,0.3360946,0.5
3.1019356,5.379533,9.376639,-0.42782924,-0.59518975,0.68022877,-0.21391462,-0.29759488,0.34011438,0.49999997
0.5636095,4.0732627,5.529337,-0.19661188,-0.8236724,0.53189045,-0.09830594,-0.4118362,0.26594523,0.49999997
7.1602597,8.458742,7.165627,-0.7108388,-0.31193718,0.6303994,-0.3554194,-0.15596859,0.3151997,0.5
1.8434043,1.0708168,4.2843704,0.40324715,-0.8908335,0.20930263,0.20162357,-0.44541675,0.10465132,0.50000006
4.8279862,7.6057014,7.429312,-0.71572214,-0.29578438,0.63265586,-0.35786107,-0.14789219,0.31632793,0.5
0.6363438,5.566463,2.1305764,-0.5265116,-0.64042836,0.5591398,-0.2632558,-0.32021418,0.2795699,0.50000006
9.785703,8.278635,0.15166262,-0.9757712,0.054330487,0.21194051,-0.4878856,0.027165243,0.105970256,0.5
9.698672,2.1004274,10.002652,0.073989876,-0.9933274,0.08846538,0.036994938,-0.4966637,0.04423269,0.49999997
4.952814,2.7068691,0.92626953,-0.9252329,-0.202344,-0.32093778,-0.46261644,-0.101172,-0.16046889,0.5
7.103275,8.259438,6.817293,-0.7121451,-0.22772464,0.66407144,-0.35607255,-0.11386232,0.33203572,0.5
0.8869934,8.976274,5.9552503,0.3105665,-0.88050735,0.35812747,0.15528326,-0.44025367,0.17906374,0.5
7.1106057,7.494425,6.621069,-0.46872017,-0.5808242,0.6655408,-0.23436008,-0.2904121,0.3327704,0.49999997
0.55431145,7.1427207,6.189805,-0.08119889,-0.9903003,0.112747416,-0.040599447,-0.49515015,0.056373708,0.49999997
6.784333,5.1244483,0.5529689,0.23985961,-0.95845324,-0.1543847,0.119929805,-0.47922662,-0.07719235,0.49999997
2.7427955,1.1542677,6.758444,-0.83436793,-0.50625676,-0.21802402,-0.41718397,-0.25312838,-0.10901201,0.50000006
6.4246387,2.031724,3.2810745,-0.02166326,-0.81933767,0.57290196,-0.01083163,-0.40966883,0.28645098,0.50000006
1.4138321,1.8056703,9.61301,0.89431167,-0.16534707,0.41577277,0.44715583,-0.082673535,0.20788638,0.5
1.0097227,1.626916,3.107343,0.14419024,-0.9451698,0.2930244,0.07209512,-0.4725849,0.1465122,0.5
6.7966866,8.685926,7.8051214,-0.57124525,-0.284939,0.76973283,-0.28562263,-0.1424695,0.38486642,0.5
0.8432363,6.109539,1.0456026,-0.6817559,-0.5785368,0.44777673,-0.34087795,-0.2892684,0.22388837,0.49999997
7.2690697,8.456712,9.547671,-0.5380741,-0.4383637,0.71994,-0.26903704,-0.21918185,0.35997,0.5
5.2069426,3.5580573,9.910346,-0.8273995,-0.5485021,-0.1206461,-0.41369975,-0.27425104,-0.06032305,0.49999997
3.7299278,4.0372806,0.58438325,-0.27786708,-0.80469704,0.5246452,-0.13893354,-0.40234852,0.2623226,0.5
6.2600055,3.2625525,1.7575846,-0.2286002,-0.31592458,0.9208331,-0.1143001,-0.15796229,0.46041656,0.5
9.4907055,4.875578,4.9113035,0.39149737,0.70342445,0.59323174,0.19574869,0.35171223,0.29661587,0.5
5.536208,3.727609,9.561833,-0.6445975,-0.70513916,0.29541975,-0.32229874,-0.35256958,0.14770988,0.49999997
3.8523285,0.021006567,9.673025,-0.8631863,-0.07773733,0.498865,-0.43159315,-0.038868666,0.2494325,0.5
9.985209,1.0722729,9.325008,-0.88806427,-0.4220378,0.18227991,-0.44403213,-0.2110189,0.09113996,0.5
3.5741353,0.6833058,6.2833877,-0.017917866,-0.9212123,0.38864744,-0.008958933,-0.46060616,0.19432372,0.5
6.432993,5.4660106,8.864625,-0.4604893,-0.40013966,0.79236233,-0.23024465,-0.20006983,0.39618117,0.50000006
8.42714,7.0548234,1.2415332,0.2686358,-0.48593202,0.83168805,0.1343179,-0.24296601,0.41584402,0.5
7.751858,1.3774649,5.46506,-0.921134,-0.34797958,0.17442052,-0.460567,-0.17398979,0.08721026,0.50000006
2.4430866,1.7124894,4.1105556,0.12042259,-0.9853664,0.12063036,0.060211293,-0.4926832,0.06031518,0.50000006
7.891744,6.1876335,0.22482397,0.38613054,-0.6794652,0.62388325,0.19306527,-0.3397326,0.31194162,0.5
0.025287254,8.168367,4.8625665,0.48636755,-0.85935557,-0.15797062,0.24318378,-0.42967778,-0.07898531,0.5
1.2598277,3.0242114,4.2349286,-0.45843917,-0.8159242,0.3522802,-0.22921959,-0.4079621,0.1761401,0.5
1.5155278,2.0767076,5.049946,0.16688304,-0.9851151,-0.04121017,0.08344152,-0.49255756,-0.020605085,0.5
0.01636444,4.379697,5.5831842,0.112504736,-0.25183386,0.9612088,0.056252368,-0.12591693,0.4806044,0.5
0.24858092,3.5975623,1.2605577,-0.9720733,-0.19311954,0.13333598,-0.48603666,-0.09655977,0.06666799,0.50000006
6.6394215,0.038365524,0.22215757,-0.09308835,-0.8474857,0.5225921,-0.046544176,-0.42374286,0.26129606,0.5
3.0130553,5.268722,0.25815597,-0.26903164,-0.50454754,0.8203985,-0.13451582,-0.25227377,0.41019925,0.5
6.201863,8.726741,7.111423,-0.4730445,-0.55315167,0.68574923,-0.23652226,-0.27657583,0.34287462,0.49999997
4.2834177,5.7593064,6.911286,-0.45587075,-0.37127447,0.80891114,-0.22793537,-0.18563724,0.40445557,0.5
3.8020284,0.10121828,5.7706537,-0.17700286,-0.9699532,0.16691571,-0.08850143,-0.4849766,0.08345786,0.5
8.348727,4.271353,2.2385783,-0.36707234,-0.66229135,0.6531678,-0.18353617,-0.33114567,0.3265839,0.5
7.0793495,7.3830533,6.131112,-0.6245755,-0.59100395,0.5105093,-0.31228775,-0.29550198,0.25525466,0.5
5.905975,8.280755,8.401609,0.0903027,0.6979251,0.71045464,0.04515135,0.34896255,0.35522732,0.49999994
0.77981365,5.827102,9.046576,-0.8054457,-0.3665318,0.4657379,-0.40272284,-0.1832659,0.23286895,0.5
3.282685,2.5965114,7.2072644,-0.15382966,-0.9068298,0.39242348,-0.07691483,-0.4534149,0.19621174,0.5
9.753239,9.179554,2.9968204,-0.42276263,-0.848933,0.3171507,-0.21138132,-0.4244665,0.15857536,0.5
3.228482,0.7476216,9.448456,-0.8144638,-0.5691981,0.11252782,-0.4072319,-0.28459904,0.05626391,0.50000006
8.2243,9.589726,3.442073,-0.48829618,-0.51827765,0.7021076,-0.24414809,-0.25913882,0.3510538,0.5
1.5605903,1.7057619,9.020615,0.8322166,-0.52916914,0.16551636,0.4161083,-0.26458457,0.08275818,0.50000006
6.233572,1.7351912,3.9785738,-0.4956838,-0.6800201,0.54025024,-0.2478419,-0.34001005,0.27012512,0.5
5.6698136,4.374644,1.3273238,-0.2181674,-0.97118604,0.09592059,-0.1090837,-0.48559302,0.047960296,0.5
4.4419155,3.4115012,8.970535,-0.51104265,-0.7179115,-0.47269288,-0.25552133,-0.35895574,-0.23634644,0.5
9.702987,2.867703,0.24669272,0.11627613,-0.7497208,0.65145886,0.058138065,-0.3748604,0.32572943,0.5
7.5048866,2.4044473,4.945918,-0.7748453,-0.40382326,0.4863555,-0.38742265,-0.20191163,0.24317776,0.50000006
3.164693,5.935163,1.0403934,-0.03971185,-0.6573203,0.7525642,-0.019855926,-0.32866016,0.3762821,0.49999997
6.1682467,1.2746603,6.8506417,0.020807559,-0.9574232,0.2879375,0.010403779,-0.4787116,0.14396875,0.5
1.6641873,2.6445653,1.5178291,-0.58177316,-0.6935455,-0.4248939,-0.29088658,-0.34677276,-0.21244694,0.50000006
7.990489,6.7270927,6.271155,-0.11609111,-0.12561987,0.98526275,-0.058045555,-0.06280994,0.49263138,0.50000006
5.4366937,1.002522,6.681373,-0.098542035,-0.9940937,-0.045467123,-0.049271017,-0.49704686,-0.022733562,0.5
1.6346817,4.2404532,3.8892345,-0.05251268,-0.9714162,0.23150186,-0.02625634,-0.4857081,0.11575093,0.5
4.215869,6.820991,2.4101877,-0.8643465,0.48238587,-0.14215848,-0.43217325,0.24119294,-0.07107924,0.5
10.076084,1.6804439,0.7346226,0.15500376,-0.750711,0.64218915,0.07750188,-0.3753555,0.32109457,0.5
9.653979,0.18834816,9.527312,-0.9745454,0.22083758,-0.038626157,-0.4872727,0.11041879,-0.019313078,0.5
3.040674,1.0304756,9.460665,-0.70939845,-0.68343204,0.17226295,-0.35469922,-0.34171602,0.086131476,0.5
9.304789,7.248697,4.1409254,-0.64532083,-0.35373735,-0.6770753,-0.32266042,-0.17686868,-0.33853766,0.5
4.2004294,2.1705499,8.048099,-0.75479054,-0.625159,-0.19866426,-0.37739527,-0.3125795,-0.09933213,0.5
3.4484026,1.0937341,6.075912,-0.4039247,-0.91474444,0.00935679,-0.20196235,-0.45737222,0.004678395,0.5
9.468867,0.632253,8.42551,0.12519258,-0.75425047,0.64454097,0.06259629,-0.37712523,0.32227048,0.5
8.977486,6.8713355,0.35592967,0.47134414,-0.13563247,0.8714577,0.23567207,-0.067816235,0.43572885,0.5
0.5257667,5.9652596,5.529587,-0.42583197,-0.6485872,0.6308739,-0.21291599,-0.3242936,0.31543696,0.50000006
8.239677,9.373298,5.6404576,-0.111758925,-0.79043585,0.60226333,-0.055879463,-0.39521793,0.30113167,0.5
7.4022346,7.197692,6.115697,-0.7982321,-0.5101704,0.320237,-0.39911604,-0.2550852,0.1601185,0.5
1.9710553,3.3564413,4.543203,-0.29750496,-0.92918926,0.21931309,-0.14875248,-0.46459463,0.10965654,0.5
1.6041961,6.8657384,8.836872,-0.33381978,-0.5939854,0.73194665,-0.16690989,-0.2969927,0.36597332,0.50000006
9.123982,7.4054503,3.9282875,-0.5345356,-0.537212,-0.6524377,-0.2672678,-0.268606,-0.32621884,0.5
2.4292946,6.826223,1.0673977,-0.40392652,-0.43181953,0.8064585,-0.20196326,-0.21590976,0.40322924,0.5
0.12335018,7.441919,5.439745,-0.058052152,-0.9944346,0.08791846,-0.029026076,-0.4972173,0.04395923,0.49999997
4.986809,5.3531456,6.1638446,-0.8884162,-0.10203404,0.44755533,-0.4442081,-0.05101702,0.22377767,0.5
5.896956,7.894545,9.002594,0.020978818,0.49035227,0.8712719,0.010489409,0.24517614,0.43563595,0.50000006
7.110045,9.675301,4.462494,-0.08657334,-0.63352615,0.76886255,-0.04328667,-0.31676307,0.38443127,0.5
0.92632043,6.651531,5.881653,-0.18956019,-0.7253482,0.66176814,-0.094780095,-0.3626741,0.33088407,0.5
6.588172,9.006139,1.891903,-0.7664191,-0.53054106,0.3621162,-0.38320956,-0.26527053,0.1810581,0.50000006
9.667711,3.0944936,7.664848,-0.35199574,-0.62023133,0.7010079,-0.17599787,-0.31011567,0.35050395,0.5
5.9633665,3.2700481,1.9474092,-0.26597816,-0.8606016,0.43430468,-0.13298908,-0.4303008,0.21715234,0.5
5.2464275,2.2642326,9.495397,-0.92559725,-0.3746646,-0.053817403,-0.46279863,-0.1873323,-0.026908701,0.50000006
6.0088615,8.937271,5.80264,-0.62708986,-0.40115717,0.667706,-0.31354493,-0.20057859,0.333853,0.5
0.30933532,6.670715,0.8353124,-0.23220965,-0.5377698,0.81048286,-0.11610483,-0.2688849,0.40524143,0.5
2.6113257,0.33513394,9.703167,-0.5519965,0.075882114,0.8303865,-0.27599826,0.037941057,0.41519326,0.5
5.711878,5.813285,8.628227,-0.4429675,-0.050119754,0.8951356,-0.22148375,-0.025059877,0.4475678,0.49999997
3.2943227,5.3082724,2.653053,-0.75854474,-0.5799165,0.29716492,-0.37927237,-0.28995824,0.14858246,0.50000006
6.6773753,4.5194464,9.830892,-0.23457713,-0.9510703,-0.20109399,-0.11728857,-0.47553515,-0.10054699,0.49999997
7.1238136,4.384244,9.58196,-0.28902197,-0.9189351,-0.2683739,-0.14451098,-0.45946756,-0.13418695,0.5
2.0266984,3.415144,5.2871184,-0.22279525,-0.96067417,0.16573307,-0.111397624,-0.48033708,0.082866535,0.5
4.692917,5.8626804,6.8730187,-0.5971862,-0.23441303,0.76708484,-0.2985931,-0.117206514,0.38354242,0.5
3.9379187,7.785557,0.69963086,-0.40955147,-0.72546005,0.5531504,-0.20477574,-0.36273003,0.2765752,0.5
