model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,1024,3,k=3,,0.5445095274032776,3,0.006667,0.6843359470367432,0.06088612973690033,3.7960920333862305,2.137968063354492,0.5632023811340332,3.0,0.4728742241859436
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.006667,0.8440882563591003,0.016372904181480408,0.27450570464134216,2.053938627243042,7.482316970825195,6.062675476074219,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.006667,0.6246633529663086,0.03627876192331314,1.347736120223999,2.1779747009277344,1.6160246133804321,3.0,0.4160248935222626
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.006667,0.8555688261985779,0.014977747574448586,0.2297169268131256,2.0482637882232666,8.916468620300293,5.514199256896973,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.006667,0.5643262267112732,0.12287723273038864,15.461186408996582,2.2213246822357178,0.14367103576660156,3.0,0.42942652106285095
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.006667,0.864370584487915,0.015563097782433033,0.24802306294441223,2.0360310077667236,8.209039688110352,6.072324275970459,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.006667,0.6178119778633118,0.06579970568418503,4.433511257171631,2.2120790481567383,0.4989451766014099,3.0,0.44413435459136963
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.006667,0.8363845348358154,0.022087374702095985,0.49956056475639343,2.0489349365234375,4.101474761962891,5.189082145690918,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.006667,0.5761238932609558,0.057726241648197174,3.412294864654541,2.220757007598877,0.6508104205131531,3.0,0.4241916835308075
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.006667,0.8628300428390503,0.02439081110060215,0.6091895699501038,2.0554120540618896,3.3740105628967285,5.291894435882568,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.008333,0.501819372177124,0.05398000776767731,2.9837732315063477,2.2435269355773926,0.7519093155860901,3.0,0.44126686453819275
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.008333,0.813444197177887,0.02550220489501953,0.6659712195396423,2.064908981323242,3.100597858428955,5.357324123382568,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.008333,0.5793452858924866,0.06266562640666962,4.021228313446045,2.2045094966888428,0.5482179522514343,3.0,0.44568419456481934
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.008333,0.8301261067390442,0.014392419718205929,0.212113156914711,2.0604684352874756,9.714006423950195,5.823593616485596,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.008333,0.37090376019477844,0.13279591500759125,18.0579891204834,2.2657859325408936,0.1254727691411972,3.0,0.4241010844707489
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.008333,0.8394522070884705,0.017255987972021103,0.3049156069755554,2.0550711154937744,6.739803314208984,6.57373046875,
