model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,1,0.00875,0.8722697496414185,0.015663111582398415,0.25122106075286865,2.0676846504211426,8.230538368225098,5.706601619720459,
topological,count,1024,4,k=4,,0.620416470460007,2,0.00875,0.7132408022880554,0.05256690829992294,2.8295986652374268,2.1638410091400146,0.764716625213623,4.0,0.5631565451622009
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,2,0.00875,0.870387852191925,0.019233299419283867,0.37879788875579834,2.066046953201294,5.454219818115234,6.505273342132568,
topological,count,1024,4,k=4,,0.620416470460007,3,0.00875,0.7639509439468384,0.03406277671456337,1.1881194114685059,2.1199254989624023,1.7842696905136108,4.0,0.5484994649887085
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,3,0.00875,0.8846539258956909,0.019808145239949226,0.40177932381629944,2.0659430027008057,5.141984462738037,6.269492149353027,
topological,count,1024,4,k=4,,0.620416470460007,4,0.00875,0.7783257961273193,0.042091004550457,1.8141725063323975,2.1126320362091064,1.164515495300293,4.0,0.5429623126983643
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,4,0.00875,0.8670257925987244,0.014622287824749947,0.2189427763223648,2.0544378757476807,9.38344669342041,6.21837854385376,
topological,count,1024,4,k=4,,0.620416470460007,5,0.00875,0.7026455402374268,0.056612178683280945,3.2818572521209717,2.165112257003784,0.6597216725349426,4.0,0.5440700054168701
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,5,0.00875,0.8537728786468506,0.018616916611790657,0.35490772128105164,2.048292875289917,5.771339416503906,6.02880859375,
topological,count,1024,4,k=4,,0.620416470460007,6,0.00875,0.7812375426292419,0.04588383808732033,2.1558544635772705,2.140979528427124,0.9931002259254456,4.0,0.5675444006919861
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,6,0.00875,0.874426543712616,0.015367822721600533,0.24183805286884308,2.0585451126098633,8.512080192565918,6.227089881896973,
topological,count,1024,4,k=4,,0.620416470460007,7,0.00875,0.6047300100326538,0.056940678507089615,3.320054769515991,2.219756841659546,0.6685904264450073,4.0,0.4994647204875946
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,7,0.00875,0.8737333416938782,0.026385465636849403,0.7129014730453491,2.0622398853302,2.8927419185638428,6.526288986206055,
topological,count,1024,4,k=4,,0.620416470460007,0,0.01,0.7653427720069885,0.035706572234630585,1.305558204650879,2.133798360824585,1.6343954801559448,4.0,0.5796692371368408
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,0,0.01,0.8572208285331726,0.015917880460619926,0.2594600319862366,2.072740077972412,7.988667964935303,6.220937252044678,
topological,count,1024,4,k=4,,0.620416470460007,1,0.01,0.7444952130317688,0.03990912064909935,1.6309635639190674,2.145082712173462,1.3152241706848145,4.0,0.5839338302612305
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,1,0.01,0.8520873785018921,0.025092359632253647,0.6447376012802124,2.0692899227142334,3.2095072269439697,6.468437194824219,
topological,count,1024,4,k=4,,0.620416470460007,2,0.01,0.7195318341255188,0.05883648991584778,3.544814348220825,2.151974678039551,0.6070768237113953,4.0,0.5670276284217834
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,2,0.01,0.8462530374526978,0.02125217579305172,0.46249473094940186,2.071425676345825,4.478809356689453,6.006445407867432,
topological,count,1024,4,k=4,,0.620416470460007,3,0.01,0.6912190914154053,0.05514739081263542,3.114224433898926,2.146350622177124,0.6892087459564209,4.0,0.5288352370262146
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,3,0.01,0.85977703332901,0.015545460395514965,0.2474612295627594,2.071288585662842,8.37015438079834,6.393710613250732,
topological,count,1024,4,k=4,,0.620416470460007,4,0.01,0.7657937407493591,0.03193254768848419,1.044160008430481,2.1473493576049805,2.056532859802246,4.0,0.5788282155990601
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,4,0.01,0.8527390956878662,0.022468406707048416,0.5169452428817749,2.073747396469116,4.011541843414307,6.421210765838623,
topological,count,1024,4,k=4,,0.620416470460007,5,0.01,0.7079662680625916,0.05683140456676483,3.307323694229126,2.168654441833496,0.6557127833366394,4.0,0.5475375056266785
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,5,0.01,0.8621132969856262,0.015542259439826012,0.24735930562019348,2.0595901012420654,8.326309204101562,6.472675800323486,
topological,count,1024,4,k=4,,0.620416470460007,6,0.01,0.744170606136322,0.03942772001028061,1.591854214668274,2.1659295558929443,1.3606330156326294,4.0,0.5781316757202148
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,6,0.01,0.8655167818069458,0.010786821134388447,0.11914804577827454,2.0532279014587402,17.232576370239258,7.379003524780273,
topological,count,1024,4,k=4,,0.620416470460007,7,0.01,0.6461161375045776,0.04460837319493294,2.0376648902893066,2.1734580993652344,1.0666415691375732,4.0,0.5310561060905457
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,7,0.01,0.8467270731925964,0.022702790796756744,0.5277867317199707,2.0684194564819336,3.919044017791748,6.124531269073486,
topological,count,1024,4,k=4,,0.620416470460007,0,0.01125,0.712573230266571,0.08448374271392822,7.308803558349609,2.161466598510742,0.2957346737384796,4.0,0.5769869089126587
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,0,0.01125,0.8184109330177307,0.02841160073876381,0.8265922665596008,2.0855324268341064,2.5230486392974854,6.175038814544678,
topological,count,1024,4,k=4,,0.620416470460007,1,0.01125,0.6584681272506714,0.035705339163541794,1.305468201637268,2.180112838745117,1.6699855327606201,4.0,0.5712898373603821
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,1,0.01125,0.8295278549194336,0.01561767514795065,0.24976564943790436,2.081582546234131,8.334142684936523,5.696328163146973,
topological,count,1024,4,k=4,,0.620416470460007,2,0.01125,0.7269981503486633,0.037474364042282104,1.4380319118499756,2.1573987007141113,1.5002440214157104,4.0,0.5826315879821777
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,2,0.01125,0.8345829844474792,0.01795871928334236,0.33025598526000977,2.0737931728363037,6.279350757598877,5.890312194824219,
topological,count,1024,4,k=4,,0.620416470460007,3,0.01125,0.7306630611419678,0.04870438948273659,2.429048538208008,2.141660690307617,0.8816870450973511,4.0,0.5816658735275269
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,3,0.01125,0.8238964080810547,0.02302631549537182,0.5429362654685974,2.082853078842163,3.836275577545166,5.683125019073486,
topological,count,1024,4,k=4,,0.620416470460007,4,0.01125,0.587654173374176,0.09018255025148392,8.328082084655762,2.2393081188201904,0.26888641715049744,4.0,0.535629391670227
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,4,0.01125,0.8305357098579407,0.018182994797825813,0.3385562300682068,2.0777978897094727,6.137231349945068,6.216210842132568,
topological,count,1024,4,k=4,,0.620416470460007,5,0.01125,0.7420006990432739,0.023256242275238037,0.5538332462310791,2.1467318534851074,3.876133918762207,4.0,0.5678310394287109
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,5,0.01125,0.8223970532417297,0.020663119852542877,0.43721163272857666,2.0725057125091553,4.740280628204346,5.863476276397705,
topological,count,1024,4,k=4,,0.620416470460007,6,0.01125,0.6545747518539429,0.07076748460531235,5.128230094909668,2.2108960151672363,0.43112263083457947,4.0,0.5616880059242249
metric,count,1024,4,k=4,0.620416470460007,0.620416470460007,6,0.01125,0.8437068462371826,0.016462890431284904,0.2775314450263977,2.07745623588562,7.485480785369873,5.225078105926514,
topological,count,1024,4,k=4,,0.620416470460007,7,0.01125,0.7399215698242188,0.0330846942961216,1.120867371559143,2.160566806793213,1.9275846481323242,4.0,0.5573160648345947
