D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.06,1.7133393436670303,1.757535383105278,2.8799009919166565,0.10756624303758144,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.07,1.9264641404151917,1.608763113617897,2.9692059457302094,0.09397451393306255,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.08,2.805740475654602,1.0910220593214035,2.9966435730457306,0.07859134115278721,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.09,3.376906394958496,0.8897690623998642,2.9685565531253815,0.07199239358305931,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.1,4.374493807554245,0.6702077388763428,2.901363104581833,0.06486749788746238,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.12,5.148859798908234,0.5412934236228466,2.7120241224765778,0.05482168961316347,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.14,5.848805904388428,0.436597116291523,2.512770801782608,0.04940400831401348,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.16,6.27594518661499,0.3815709091722965,2.3311947882175446,0.045554328709840775,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.18,6.428476333618164,0.3393418751657009,2.162049263715744,0.043147966265678406,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.2,6.725933194160461,0.3088711351156235,2.018895298242569,0.041411308106034994,3.0,topological,count,1024,3,k=3,0.5445095274032776
0.005,7.015635013580322,0.4064301364123821,2.034012049436569,0.888596385717392,6.447819650173187,metric,count,1024,3,k=3,0.5445095274032776
0.006667,7.440266937017441,0.3673383863642812,2.0487004816532135,0.8539531901478767,5.782145977020264,metric,count,1024,3,k=3,0.5445095274032776
0.008333,5.488084256649017,0.47062848508358,2.0596751868724823,0.8240090906620026,5.638693690299988,metric,count,1024,3,k=3,0.5445095274032776
0.01,4.2877079248428345,0.7218981981277466,2.073077917098999,0.7971533313393593,5.167487740516663,metric,count,1024,3,k=3,0.5445095274032776
0.011667,4.931308917701244,2.1313151977956295,2.0866566002368927,0.7381640076637268,5.3691259026527405,metric,count,1024,3,k=3,0.5445095274032776
0.013333,3.6365577578544617,0.7193476222455502,2.096346527338028,0.7151767238974571,5.162419319152832,metric,count,1024,3,k=3,0.5445095274032776
0.015,2.2076511532068253,1.0680483058094978,2.1090044379234314,0.6784122213721275,4.891347587108612,metric,count,1024,3,k=3,0.5445095274032776
0.016667,1.1662892997264862,2.671469584107399,2.1173159182071686,0.6406057626008987,4.808522820472717,metric,count,1024,3,k=3,0.5445095274032776
0.018333,1.442011222243309,1.6457189917564392,2.1340963542461395,0.5969828218221664,4.453701019287109,metric,count,1024,3,k=3,0.5445095274032776
0.02,0.9263916648924351,2.906052887439728,2.1451012790203094,0.5691758617758751,4.567026227712631,metric,count,1024,3,k=3,0.5445095274032776
0.021667,1.0408361442387104,2.5826801657676697,2.160746604204178,0.5239741168916225,4.31747305393219,metric,count,1024,3,k=3,0.5445095274032776
0.023333,0.4198871813714504,6.290521293878555,2.1778802275657654,0.4635212607681751,4.449723958969116,metric,count,1024,3,k=3,0.5445095274032776
0.025,0.7607075031846762,6.162419497966766,2.1874815821647644,0.39882121980190277,4.110163480043411,metric,count,1024,3,k=3,0.5445095274032776
0.0275,0.6444501057267189,5.116393446922302,2.206608146429062,0.3565574251115322,3.9012474715709686,metric,count,1024,3,k=3,0.5445095274032776
0.03,0.7693573702126741,4.869020752608776,2.2230015099048615,0.2874718774110079,3.774582415819168,metric,count,1024,3,k=3,0.5445095274032776
0.0325,0.50035160779953,5.683441519737244,2.234725058078766,0.2356553841382265,3.548945188522339,metric,count,1024,3,k=3,0.5445095274032776
