N,rho,v0,k,noise,J_interp
2048,1.0,0.05,8,0.1148153621496883,1.5704592171938274
2048,1.0,0.05,8,0.1318256738556407,2.771617901444797
2048,1.0,0.05,8,0.15,4.05497179031372
2048,1.0,0.05,8,0.15135612484362082,4.05497179031372
2048,1.0,0.05,9,0.00330346724003798,13.818684291839599
2048,1.0,0.05,9,0.0037928878751459175,13.818684291839599
2048,1.0,0.05,9,0.004354817949780402,13.818684291839599
2048,1.0,0.05,9,0.005,13.818684291839599
2048,1.0,0.05,9,0.005740768107484414,13.373574350290507
2048,1.0,0.05,9,0.006591283692782036,12.862519758936651
2048,1.0,0.05,9,0.006597539553864474,12.858760760766225
2048,1.0,0.05,9,0.0075678062421810416,12.275750579091111
2048,1.0,0.05,9,0.00870550563296124,11.592134067777863
2048,1.0,0.05,9,0.011486983549970353,9.920810126383603
2048,1.0,0.05,9,0.01321386896015192,8.883165745879452
2048,1.0,0.05,9,0.015157165665103984,7.715484964249747
2048,1.0,0.05,9,0.015171551500583674,7.706840857781335
2048,1.0,0.05,9,0.017419271799121613,6.356239177454566
2048,1.0,0.05,9,0.02,4.80554096698761
2048,1.0,0.05,9,0.02296307242993765,4.4687912348808645
2048,1.0,0.05,9,0.023124270680265863,4.450471241395168
2048,1.0,0.05,9,0.02636513477112814,4.082150810424398
2048,1.0,0.05,9,0.026550215126021435,4.061116643557998
2048,1.0,0.05,9,0.030271224968724166,3.6382282068676144
2048,1.0,0.05,9,0.03048372564846282,3.614077752004788
2048,1.0,0.05,9,0.0330346724003798,3.3241656234157846
2048,1.0,0.05,9,0.035,3.1008084297180174
2048,1.0,0.05,9,0.03792887875145919,2.753436543931892
2048,1.0,0.05,9,0.0401853767523909,2.485810591349952
2048,1.0,0.05,9,0.04354817949780404,2.0869743026784104
2048,1.0,0.05,9,0.04613898584947424,1.7796985960149045
2048,1.0,0.05,9,0.04875917646296059,1.468937847017563
2048,1.0,0.05,9,0.05,1.3217732667922975
2048,1.0,0.05,9,0.05297464369526729,1.2822870672236986
2048,1.0,0.05,9,0.055983025037153765,1.2423530252968704
2048,1.0,0.05,9,0.05740768107484413,1.2234417678880072
2048,1.0,0.05,9,0.06427711293875876,1.1322551299948753
2048,1.0,0.05,9,0.06591283692782035,1.1105421013138295
2048,1.0,0.05,9,0.0660693448007596,1.1084645748138429
2048,1.0,0.05,9,0.0738,0.6051844239234925
2048,1.0,0.05,9,0.07567806242181041,0.6084248792288076
2048,1.0,0.05,9,0.07585775750291839,0.608734929561615
2048,1.0,0.05,9,0.08473373726646993,0.3269540022701466
2048,1.0,0.05,9,0.08709635899560805,0.2519491285085678
2048,1.0,0.05,9,0.09728734730546285,0.3767192389604205
2048,1.0,0.05,9,0.1,0.4099307358264923
2048,1.0,0.05,9,0.11170082013459218,1.1071162452454648
2048,1.0,0.05,9,0.1148153621496883,1.2926941394805909
2048,1.0,0.05,9,0.1318256738556407,2.653680992126465
2048,1.0,0.05,9,0.15,3.822994899749756
2048,1.0,0.05,9,0.15135612484362082,3.9452871799468996
2048,1.0,0.05,10,0.00330346724003798,68.00941390991211
2048,1.0,0.05,10,0.0037928878751459175,68.00941390991211
2048,1.0,0.05,10,0.004354817949780402,68.00941390991211
2048,1.0,0.05,10,0.005,68.00941390991211
2048,1.0,0.05,10,0.005740768107484414,65.13306868038764
2048,1.0,0.05,10,0.006591283692782036,61.830582488433826
2048,1.0,0.05,10,0.006597539553864474,61.80629146402384
2048,1.0,0.05,10,0.0075678062421810416,58.03882100719861
2048,1.0,0.05,10,0.00870550563296124,53.6212223251814
2048,1.0,0.05,10,0.011486983549970353,42.820958846255664
2048,1.0,0.05,10,0.01321386896015192,36.11559645102636
2048,1.0,0.05,10,0.015157165665103984,28.569925747381603
2048,1.0,0.05,10,0.015171551500583674,28.51406666160746
2048,1.0,0.05,10,0.017419271799121613,19.786342704969698
2048,1.0,0.05,10,0.02,9.765574836730957
2048,1.0,0.05,10,0.02296307242993765,8.946717094905189
2048,1.0,0.05,10,0.023124270680265863,8.90216926883237
2048,1.0,0.05,10,0.02636513477112814,8.006542613137169
2048,1.0,0.05,10,0.026550215126021435,7.95539486530185
2048,1.0,0.05,10,0.030271224968724166,6.927077877056262
2048,1.0,0.05,10,0.03048372564846282,6.868352405147734
2048,1.0,0.05,10,0.0330346724003798,6.163387357487231
2048,1.0,0.05,10,0.035,5.6202606678009035
2048,1.0,0.05,10,0.03792887875145919,5.25356197150544
2048,1.0,0.05,10,0.0401853767523909,4.971046051471968
2048,1.0,0.05,10,0.04354817949780404,4.550019615322146
2048,1.0,0.05,10,0.04613898584947424,4.225647938605194
2048,1.0,0.05,10,0.04875917646296059,3.8975973214424426
2048,1.0,0.05,10,0.05,3.742244911193848
2048,1.0,0.05,10,0.05297464369526729,3.390116883529358
2048,1.0,0.05,10,0.055983025037153765,3.0339951099984446
2048,1.0,0.05,10,0.05740768107484413,2.865349257908539
2048,1.0,0.05,10,0.06427711293875876,2.052169683741588
2048,1.0,0.05,10,0.06591283692782035,1.858538337914136
2048,1.0,0.05,10,0.0660693448007596,1.840011477470398
