N,k,noise,n_seeds,phi_mean,phi_se,chi_mean,chi_se,work_mean,work_se,sdot_proxy_mean,sdot_proxy_se,align_cost_mean,turn_cost_mean,J_mean,J_se,mean_nn_distance
1024,5,0.15,5,0.05473767295479774,0.00010711467951083993,0.5461472511291504,0.005909314359259423,2.6523733139038086,0.0005244296764073424,2.6523733139038086,0.0005244296764073424,0.7936899781227111,0.8994572877883911,4.858810043334961,0.05299150278683942,0.5314037322998046
1024,6,0.005,5,0.8994932055473328,0.00294948561260559,0.62132568359375,0.08807144934012627,2.0546530723571776,0.001211118130680199,2.0546530723571776,0.001211118130680199,0.013260374031960964,0.023383381590247155,3.5634086608886717,0.4641378055263374,0.32012696862220763
1024,6,0.02,5,0.7726836323738098,0.0024398202096075,2.8449951171875,0.22979435413918325,2.1997589111328124,0.000956147960273232,2.1997589111328124,0.000956147960273232,0.05778773576021194,0.09974868893623352,0.7921232461929322,0.05908822028944556,0.3793484330177307
1024,6,0.0330346724003798,5,0.6726057648658752,0.008674576095228719,6.519134521484375,0.5935460540329377,2.360904359817505,0.002659203166540539,2.360904359817505,0.002659203166540539,0.10450924336910247,0.17635644674301149,0.37853406071662904,0.045198318651617574,0.40199857354164126
1024,6,0.035,5,0.6531028747558594,0.00899775773560138,5.874639892578125,0.5286963589761229,2.3908658027648926,0.0025794902042251856,2.3908658027648926,0.0025794902042251856,0.11249716281890869,0.18910219371318818,0.42016556262969973,0.03736015810288636,0.4049538910388947
1024,6,0.03792887875145919,5,0.6486946105957031,0.008339839934264244,6.810888671875,0.7847607150928216,2.4269978046417235,0.0026471913257518883,2.4269978046417235,0.0026471913257518883,0.12443726360797883,0.2079752117395401,0.3737849950790405,0.03876675997815204,0.413257372379303
1024,6,0.04354817949780404,5,0.5861056447029114,0.007632527729468316,7.870166015625,1.7191050741036336,2.5216068744659426,0.0025607210979778855,2.5216068744659426,0.0025607210979778855,0.15024732947349548,0.2478475570678711,0.37764398455619813,0.06702887450413178,0.41435953974723816
1024,6,0.04608007561597647,5,0.5607221961021424,0.00602514105440907,9.930987548828124,0.7295361673229618,2.566163492202759,0.0019293052711080397,2.566163492202759,0.0019293052711080397,0.16284604668617247,0.2668238043785095,0.2634033769369125,0.01708951815672616,0.41898803114891053
1024,6,0.04875917646296059,5,0.5128038763999939,0.009728243239377803,11.801824951171875,1.449417898325695,2.6212953090667725,0.003551610160496802,2.6212953090667725,0.003551610160496802,0.17745501399040223,0.2884009420871735,0.23494816422462464,0.026176241614977492,0.41834322810173036
1024,6,0.05,5,0.5349350929260254,0.010632670882275728,8.75731201171875,0.8900380002208613,2.6349764347076414,0.004974049122821666,2.6349764347076414,0.004974049122821666,0.1834433227777481,0.29735594391822817,0.3149266988039017,0.03532307377668532,0.42703063488006593
1024,6,0.052907005697333594,5,0.45957895517349245,0.009229438925512229,12.28331298828125,0.6252914161974142,2.7050318241119387,0.003783454592720405,2.7050318241119387,0.003783454592720405,0.20148161351680755,0.3230415523052216,0.22242665886878968,0.010852701532656682,0.42394636273384095
1024,6,0.055983025037153765,5,0.4478162288665771,0.0092751302201315,13.413851928710937,1.5625742387450303,2.754939079284668,0.0019524480454576217,2.754939079284668,0.0019524480454576217,0.2192934513092041,0.34832987785339353,0.21727471947669982,0.026480549347801557,0.4289520144462585
1024,6,0.05740768107484413,5,0.4349432587623596,0.008565197723004812,12.080465698242188,1.060331326746294,2.78285493850708,0.0036765564207407275,2.78285493850708,0.0036765564207407275,0.22831394374370576,0.3607891857624054,0.23675362765789032,0.018345058329808362,0.4314598202705383
1024,6,0.06074537019394978,5,0.39096381068229674,0.00804194779778994,12.5597900390625,0.5290701690013858,2.85099720954895,0.00259469813920411,2.85099720954895,0.00259469813920411,0.2509738266468048,0.39139564037323,0.2286159247159958,0.009650713762617233,0.4354584813117981
1024,6,0.06427711293875876,5,0.3479310393333435,0.009825691786869976,11.915859985351563,0.46929807288597597,2.924824857711792,0.002664753305535177,2.924824857711792,0.002664753305535177,0.27702832221984863,0.4253343105316162,0.2470178097486496,0.009927171085408757,0.4402045845985413
1024,6,0.06591283692782036,5,0.34979516863822935,0.004922631417262229,10.967291259765625,0.6795106216345096,2.949659824371338,0.0016129997816374862,2.949659824371338,0.0016129997816374862,0.2884791731834412,0.44007461071014403,0.2736970156431198,0.019285761537213737,0.4442075312137604
1024,6,0.06974501677735222,5,0.30330132246017455,0.0054610197347934085,10.979045104980468,0.5980012786488931,3.0239078044891357,0.003994913150183718,3.0239078044891357,0.003994913150183718,0.3193443238735199,0.4780474007129669,0.27867331802845,0.014927834518011123,0.44946601390838625
1024,6,0.0738,5,0.25963053703308103,0.005559777532883109,8.939250183105468,0.40990980794480936,3.102549171447754,0.001676774466516875,3.102549171447754,0.001676774466516875,0.35499550104141236,0.5198799848556519,0.3500946521759033,0.016548875271583496,0.45629716515541074
1024,6,0.07567806242181041,5,0.24388574063777924,0.007499565158104698,7.66884765625,0.26282066078894756,3.133877086639404,0.0029504915966946303,3.133877086639404,0.0029504915966946303,0.3717228710651398,0.5388607501983642,0.41063752174377444,0.014512657392299863,0.4601461172103882
1024,6,0.0800779935942778,5,0.21179640293121338,0.004279549663029042,6.973048400878906,0.2518779217791222,3.2020050048828126,0.0025207810384092594,3.2020050048828126,0.0025207810384092594,0.41278746724128723,0.5835309386253357,0.4613859117031097,0.015164845470195037,0.46961730122566225
1024,6,0.08473373726646993,5,0.17612916231155396,0.0014315204720241237,4.847765350341797,0.16050687212728323,3.258079767227173,0.0017008137099202686,3.258079767227173,0.0017008137099202686,0.45715353488922117,0.6291043877601623,0.6750644326210022,0.022578135484028868,0.4786458253860474
1024,6,0.09728734730546285,5,0.12453554421663285,0.0009268399508246377,2.6395355224609376,0.04681473249651684,3.299965000152588,0.0005075390884592288,3.299965000152588,0.0005075390884592288,0.5668968319892883,0.731810462474823,1.2517886877059936,0.022300420927964214,0.5009474635124207
