N,k,noise,seed,phi_mean,phi_var,chi,sdot_proxy_mean,work_mean,align_cost_mean,turn_cost_mean,mean_nn_distance,J
256,7,0.09120108393559097,0,0.3819551467895508,0.009906396269798279,2.5360374450683594,3.2704033851623535,3.2704033851623535,0.48297691345214844,0.6652652025222778,0.5079340934753418,1.2895721197128296
256,7,0.09120108393559097,1,0.3755779266357422,0.011684387922286987,2.9912033081054688,3.2795188426971436,3.2795188426971436,0.48583921790122986,0.6671532988548279,0.5077536702156067,1.0963877439498901
256,7,0.0933254300796991,0,0.3423842787742615,0.01096431165933609,2.806863784790039,3.301868438720703,3.301868438720703,0.507702648639679,0.6880826950073242,0.5086856484413147,1.176355004310608
256,7,0.0933254300796991,1,0.3471531569957733,0.011323392391204834,2.8987884521484375,3.2973711490631104,3.2973711490631104,0.5066720247268677,0.6867466568946838,0.5077866911888123,1.1374996900558472
256,7,0.1,0,0.2843529284000397,0.009637922048568726,2.4673080444335938,3.337425470352173,3.337425470352173,0.572767436504364,0.74588543176651,0.5179953575134277,1.3526586294174194
256,7,0.1,1,0.28698599338531494,0.010337099432945251,2.6462974548339844,3.3257763385772705,3.3257763385772705,0.5694945454597473,0.742554247379303,0.516083836555481,1.2567658424377441
256,7,0.10715193052376065,0,0.23342390358448029,0.007175147533416748,1.8368377685546875,3.3077943325042725,3.3077943325042725,0.6278021931648254,0.7908909320831299,0.5195814371109009,1.8008092641830444
256,7,0.10715193052376065,1,0.2325192391872406,0.007600914686918259,1.9458341598510742,3.303597927093506,3.303597927093506,0.6262052059173584,0.7891713976860046,0.5185173153877258,1.6977797746658325
256,7,0.1096478196143185,0,0.21733613312244415,0.00650806725025177,1.6660652160644531,3.2889859676361084,3.2889859676361084,0.644474446773529,0.8037359714508057,0.5217370986938477,1.9741040468215942
256,7,0.1096478196143185,1,0.21829821169376373,0.006529554724693298,1.6715660095214844,3.280749559402466,3.280749559402466,0.6419142484664917,0.8013960719108582,0.5213379859924316,1.9626801013946533
256,7,0.1148153621496883,0,0.19196046888828278,0.0053850337862968445,1.3785686492919922,3.2469286918640137,3.2469286918640137,0.678816556930542,0.8299922347068787,0.5293603539466858,2.355289936065674
256,7,0.1148153621496883,1,0.1971619576215744,0.005744658410549164,1.470632553100586,3.2385077476501465,3.2385077476501465,0.6747012734413147,0.8267971873283386,0.5243560671806335,2.2021191120147705
256,7,0.12022644346174131,0,0.17079339921474457,0.004939479753375053,1.2645068168640137,3.186074733734131,3.186074733734131,0.7069541215896606,0.850353479385376,0.5299450159072876,2.5196187496185303
256,7,0.12022644346174131,1,0.17348900437355042,0.004877537488937378,1.2486495971679688,3.18442702293396,3.18442702293396,0.706415057182312,0.8494606614112854,0.5257418751716614,2.5502967834472656
256,7,0.12302687708123818,0,0.16388483345508575,0.004141328856348991,1.0601801872253418,3.1439077854156494,3.1439077854156494,0.7179241180419922,0.8579727411270142,0.5307193994522095,2.965446710586548
256,7,0.12302687708123818,1,0.16816391050815582,0.0047332365065813065,1.2117085456848145,3.1424641609191895,3.1424641609191895,0.7158421277999878,0.8562881350517273,0.5309885740280151,2.5934159755706787
256,7,0.1318256738556407,0,0.14350581169128418,0.0032915156334638596,0.842628002166748,3.030644178390503,3.030644178390503,0.7528981566429138,0.882339596748352,0.53303462266922,3.5966572761535645
