D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.025,0.6143627390265465,5.702884748578072,2.181261718273163,0.24386158771812916,3.601673513650894,metric,count,2048,3,k=3,0.5063
0.0275,0.7944275140762329,4.2634712010622025,2.1914883255958557,0.1908237161114812,3.2120360732078552,metric,count,2048,3,k=3,0.5063
0.03,0.6591909304261208,3.593217670917511,2.2015742659568787,0.1440661884844303,3.0057298839092255,metric,count,2048,3,k=3,0.5063
0.035,1.1848450750112534,2.1795988380908966,2.220582515001297,0.09166733920574188,2.492255836725235,metric,count,2048,3,k=3,0.5063
0.04,1.5856609493494034,1.51937735080719,2.2260647416114807,0.06799149699509144,2.0902306735515594,metric,count,2048,3,k=3,0.5063
0.045,2.707104504108429,0.8935429453849792,2.219820201396942,0.05252867145463824,1.7700146287679672,metric,count,2048,3,k=3,0.5063
0.05,3.731459677219391,0.6009230725467205,2.2071966230869293,0.04326241323724389,1.4781701266765594,metric,count,2048,3,k=3,0.5063
0.055,5.210113555192947,0.4484657384455204,2.1929535567760468,0.036034383811056614,1.287290021777153,metric,count,2048,3,k=3,0.5063
0.06,5.738685369491577,0.3835208788514137,2.177096515893936,0.032657894771546125,1.1496203392744064,metric,count,2048,3,k=3,0.5063
0.065,7.27965235710144,0.2990649100393057,2.1520290672779083,0.02938519953750074,1.0134191662073135,metric,count,2048,3,k=3,0.5063
0.07,7.708985209465027,0.2904619835317135,2.1278359293937683,0.028342101257294416,0.9220788404345512,metric,count,2048,3,k=3,0.5063
0.08,9.253444254398346,0.23057922907173634,2.086882323026657,0.02534367237240076,0.831967756152153,metric,count,2048,3,k=3,0.5063
0.09,10.830320835113525,0.193455770611763,2.0493063628673553,0.024195185163989663,0.7759472504258156,metric,count,2048,3,k=3,0.5063
0.1,10.048418462276459,0.204282458871603,2.008792817592621,0.023571010679006577,0.7226611077785492,metric,count,2048,3,k=3,0.5063
0.12,10.604649662971497,0.18445524014532566,1.932350367307663,0.022675622953101993,0.6744518950581551,metric,count,2048,3,k=3,0.5063
0.14,10.376621961593628,0.1801777146756649,1.8565282672643661,0.0222730771638453,0.6452258229255676,metric,count,2048,3,k=3,0.5063
0.16,10.642071008682251,0.17033465020358562,1.783165916800499,0.02200470003299415,0.6209765523672104,metric,count,2048,3,k=3,0.5063
0.18,9.938486933708191,0.17337132804095745,1.7131652235984802,0.021505519980564713,0.6111596450209618,metric,count,2048,3,k=3,0.5063
0.2,10.201931595802307,0.16279038973152637,1.6485562324523926,0.021487446036189795,0.593345932662487,metric,count,2048,3,k=3,0.5063
0.005,1.5116583928465843,1.9392751529812813,2.0898229479789734,0.8137074634432793,4.0,topological,count,2048,4,k=4,0.5649
