model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
metric,count,2048,5,k=5,0.6714,0.6714,0,0.006875,0.9191630482673645,0.00829927995800972,0.14106224477291107,2.051439046859741,14.542792320251465,7.233202934265137,
topological,count,2048,5,k=5,,0.6714,1,0.006875,0.8628846406936646,0.017661696299910545,0.6388439536094666,2.081456184387207,3.2581605911254883,5.0,0.6293202638626099
metric,count,2048,5,k=5,0.6714,0.6714,1,0.006875,0.9132127165794373,0.011534901335835457,0.27249449491500854,2.042664051055908,7.496166229248047,8.47695255279541,
topological,count,2048,5,k=5,,0.6714,2,0.006875,0.844613790512085,0.025591740384697914,1.3413113355636597,2.0817296504974365,1.5520107746124268,5.0,0.6393553614616394
metric,count,2048,5,k=5,0.6714,0.6714,2,0.006875,0.913127601146698,0.007752744015306234,0.12309511750936508,2.0498340129852295,16.652441024780273,7.168564319610596,
topological,count,2048,5,k=5,,0.6714,3,0.006875,0.9153258800506592,0.013738755136728287,0.3865669369697571,2.0578441619873047,5.323383808135986,5.0,0.74411940574646
metric,count,2048,5,k=5,0.6714,0.6714,3,0.006875,0.9063697457313538,0.016469944268465042,0.555538535118103,2.0539281368255615,3.697183847427368,7.782890319824219,
topological,count,2048,5,k=5,,0.6714,4,0.006875,0.8836318850517273,0.022702530026435852,1.055549144744873,2.075166702270508,1.9659593105316162,5.0,0.6767873764038086
metric,count,2048,5,k=5,0.6714,0.6714,4,0.006875,0.9067400097846985,0.009703332558274269,0.19282874464988708,2.0424604415893555,10.592095375061035,9.29849624633789,
topological,count,2048,5,k=5,,0.6714,5,0.006875,0.8605965971946716,0.01963789574801922,0.7898049354553223,2.0706770420074463,2.6217575073242188,5.0,0.6418949961662292
metric,count,2048,5,k=5,0.6714,0.6714,5,0.006875,0.9197899699211121,0.005170195829123259,0.054744936525821686,2.037506580352783,37.21817398071289,8.108388900756836,
topological,count,2048,5,k=5,,0.6714,6,0.006875,0.6974509954452515,0.048441942781209946,4.805881500244141,2.133361577987671,0.44390639662742615,5.0,0.5542494058609009
metric,count,2048,5,k=5,0.6714,0.6714,6,0.006875,0.9131060838699341,0.007941728457808495,0.1291695237159729,2.0392727851867676,15.787569046020508,7.581181526184082,
topological,count,2048,5,k=5,,0.6714,7,0.006875,0.8951667547225952,0.02282513491809368,1.0669809579849243,2.073303461074829,1.943149447441101,5.0,0.6913336515426636
metric,count,2048,5,k=5,0.6714,0.6714,7,0.006875,0.9206761717796326,0.0085660545155406,0.15027669072151184,2.0506396293640137,13.645759582519531,8.308525085449219,
topological,count,2048,5,k=5,,0.6714,0,0.0075,0.88056880235672,0.020168352872133255,0.833049476146698,2.077974796295166,2.494419574737549,5.0,0.6638521552085876
metric,count,2048,5,k=5,0.6714,0.6714,0,0.0075,0.8987950682640076,0.008262870833277702,0.13982728123664856,2.0607688426971436,14.737959861755371,7.66409158706665,
topological,count,2048,5,k=5,,0.6714,1,0.0075,0.8625919818878174,0.016278142109513283,0.5426748394966125,2.0823538303375244,3.8372035026550293,5.0,0.667603611946106
metric,count,2048,5,k=5,0.6714,0.6714,1,0.0075,0.9060986042022705,0.006489772815257311,0.08625593036413193,2.045297145843506,23.711959838867188,7.910585880279541,
topological,count,2048,5,k=5,,0.6714,2,0.0075,0.7932264804840088,0.02013295330107212,0.8301277756690979,2.1026415824890137,2.5329132080078125,5.0,0.5956281423568726
metric,count,2048,5,k=5,0.6714,0.6714,2,0.0075,0.9014589786529541,0.007031421177089214,0.10125492513179779,2.0544955730438232,20.290328979492188,6.828417778015137,
topological,count,2048,5,k=5,,0.6714,3,0.0075,0.9069659113883972,0.016611812636256218,0.5651503205299377,2.0635311603546143,3.6512959003448486,5.0,0.7237573266029358
metric,count,2048,5,k=5,0.6714,0.6714,3,0.0075,0.9015612006187439,0.006559010129421949,0.08810622245073318,2.0519213676452637,23.28917694091797,7.308876991271973,
topological,count,2048,5,k=5,,0.6714,4,0.0075,0.8920179605484009,0.012685681693255901,0.3295775055885315,2.0773003101348877,6.302918910980225,5.0,0.6919475197792053
metric,count,2048,5,k=5,0.6714,0.6714,4,0.0075,0.8744585514068604,0.03629251569509506,2.697516441345215,2.050985336303711,0.7603235840797424,10.019248008728027,
topological,count,2048,5,k=5,,0.6714,5,0.0075,0.8360707759857178,0.018889470025897026,0.730751097202301,2.0839812755584717,2.851834535598755,5.0,0.6351463794708252
metric,count,2048,5,k=5,0.6714,0.6714,5,0.0075,0.917141854763031,0.017772898077964783,0.6469138264656067,2.0441677570343018,3.1598763465881348,9.916006088256836,
topological,count,2048,5,k=5,,0.6714,6,0.0075,0.820097029209137,0.03830966725945473,3.0057077407836914,2.1144299507141113,0.7034715414047241,5.0,0.6275231242179871
metric,count,2048,5,k=5,0.6714,0.6714,6,0.0075,0.9026082158088684,0.012744409032166004,0.3326360881328583,2.04496431350708,6.147752285003662,8.186513900756836,
topological,count,2048,5,k=5,,0.6714,7,0.0075,0.87837153673172,0.027525724843144417,1.5516990423202515,2.076341152191162,1.3381081819534302,5.0,0.6941307187080383
