model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,3,k=3,,0.5063,0,0.00625,0.6203973889350891,0.0634760931134224,8.2518310546875,2.1873233318328857,0.2650712728500366,3.0,0.43722662329673767
metric,count,2048,3,k=3,0.5063,0.5063,0,0.00625,0.7946221828460693,0.06489869952201843,8.625850677490234,2.0585501194000244,0.2386489361524582,6.908544540405273,
topological,count,2048,3,k=3,,0.5063,1,0.00625,0.2656281888484955,0.09808100014925003,19.701519012451172,2.3276944160461426,0.11814796924591064,3.0,0.3967147767543793
metric,count,2048,3,k=3,0.5063,0.5063,1,0.00625,0.829800009727478,0.011822626926004887,0.2862582206726074,2.0470919609069824,7.15120792388916,6.387490272521973,
topological,count,2048,3,k=3,,0.5063,2,0.00625,0.32395946979522705,0.025158679112792015,1.2963004112243652,2.2887959480285645,1.7656370401382446,3.0,0.3867078423500061
metric,count,2048,3,k=3,0.5063,0.5063,2,0.00625,0.8446578979492188,0.017671184614300728,0.639530599117279,2.0514488220214844,3.2077412605285645,5.702548503875732,
topological,count,2048,3,k=3,,0.5063,3,0.00625,0.5263243913650513,0.04377015307545662,3.923612356185913,2.2250289916992188,0.5670868158340454,3.0,0.43185389041900635
metric,count,2048,3,k=3,0.5063,0.5063,3,0.00625,0.789855420589447,0.026369398459792137,1.4240670204162598,2.0493969917297363,1.4391155242919922,6.692206859588623,
topological,count,2048,3,k=3,,0.5063,4,0.00625,0.532941460609436,0.050196945667266846,5.16041374206543,2.237786293029785,0.43364474177360535,3.0,0.41095855832099915
metric,count,2048,3,k=3,0.5063,0.5063,4,0.00625,0.8219960331916809,0.02981487847864628,1.8205225467681885,2.046071767807007,1.1238925457000732,6.859375,
topological,count,2048,3,k=3,,0.5063,5,0.00625,0.5607286691665649,0.029793353751301765,1.8178949356079102,2.2032432556152344,1.2119749784469604,3.0,0.4065004587173462
metric,count,2048,3,k=3,0.5063,0.5063,5,0.00625,0.8242378234863281,0.025469906628131866,1.3285707235336304,2.0448741912841797,1.5391534566879272,6.148300647735596,
