D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.025,1.7018540785647929,10.912845626473427,2.190478265285492,0.6638744994997978,6.133017480373383,metric,count,2048,5,k=5,0.6714
0.025625,2.092059649527073,1.6545678786933422,2.193257987499237,0.6880367398262024,5.956467092037201,metric,count,2048,5,k=5,0.6714
0.0275,1.2312515676021576,2.0768607407808304,2.210827022790909,0.6480269655585289,5.770327031612396,metric,count,2048,5,k=5,0.6714
0.03,1.150362253189087,2.130985766649246,2.2338946163654327,0.6047681048512459,5.6492356061935425,metric,count,2048,5,k=5,0.6714
0.0325,1.0585674084722996,2.8615845888853073,2.2597793638706207,0.5791104584932327,5.633480072021484,metric,count,2048,5,k=5,0.6714
0.035,0.6051571704447269,5.972176015377045,2.2835990488529205,0.5209467113018036,5.672208189964294,metric,count,2048,5,k=5,0.6714
0.0375,0.6053838413208723,6.217263489961624,2.310231477022171,0.5037262700498104,5.522801339626312,metric,count,2048,5,k=5,0.6714
0.04,0.5748078282922506,4.981549978256226,2.341720372438431,0.42878570035099983,5.158239662647247,metric,count,2048,5,k=5,0.6714
0.045,0.6246186774224043,5.257745489478111,2.3871711790561676,0.33859220892190933,4.903685212135315,metric,count,2048,5,k=5,0.6714
0.05,0.3592677991837263,7.5851940512657166,2.4430587589740753,0.23378895968198776,4.60566645860672,metric,count,2048,5,k=5,0.6714
0.055,0.4540064334869385,6.350089281797409,2.4864474534988403,0.1505030794069171,4.15506586432457,metric,count,2048,5,k=5,0.6714
0.06,0.5845676511526108,4.4377374947071075,2.5142078697681427,0.12609479296952486,3.7925889790058136,metric,count,2048,5,k=5,0.6714
0.065,1.3594314754009247,2.121123731136322,2.5298174023628235,0.08256324753165245,3.345914214849472,metric,count,2048,5,k=5,0.6714
0.07,1.792133867740631,1.5065120458602905,2.537299484014511,0.06647903751581907,3.092535376548767,metric,count,2048,5,k=5,0.6714
0.08,3.382811188697815,0.7632404789328575,2.492140680551529,0.04703103890642524,2.5176097452640533,metric,count,2048,5,k=5,0.6714
0.09,5.267064273357391,0.4706611968576908,2.421002060174942,0.03835632698610425,2.185609072446823,metric,count,2048,5,k=5,0.6714
0.1,6.31887811422348,0.3778159134089947,2.3329688608646393,0.03297141520306468,1.9521227478981018,metric,count,2048,5,k=5,0.6714
0.12,7.492159783840179,0.29571026749908924,2.1877438724040985,0.02914658165536821,1.755661591887474,metric,count,2048,5,k=5,0.6714
0.14,7.496869802474976,0.2769920136779547,2.0543990433216095,0.02647170750424266,1.62329463660717,metric,count,2048,5,k=5,0.6714
0.16,8.13173621892929,0.2413641605526209,1.9399393498897552,0.025418698089197278,1.551145002245903,metric,count,2048,5,k=5,0.6714
0.18,8.436505854129791,0.22180621698498726,1.8379477709531784,0.0244706601370126,1.4973974376916885,metric,count,2048,5,k=5,0.6714
0.2,8.119215369224548,0.21742867678403854,1.7501414865255356,0.02379405195824802,1.468461886048317,metric,count,2048,5,k=5,0.6714
